epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,82.0004,1.12222,1.46465,0.92073,0.11179,0.25037,0.11143,0.0624,1.59192,3.36798,0.95593,0.00997519,0.00332506,0.00997519,0.00332506,0.00997519,0.00332506,0.00997519,0.00332506
2,144.546,1.10489,1.0688,0.88872,0.10629,0.19843,0.09501,0.05263,1.63923,3.5789,0.96187,0.0197774,0.00659248,0.0197774,0.00659248,0.0197774,0.00659248,0.0197774,0.00659248
3,200.049,1.16211,1.07881,0.89814,0.0895,0.18757,0.08586,0.04539,1.63454,3.82598,0.96851,0.0293817,0.00979389,0.0293817,0.00979389,0.0293817,0.00979389,0.0293817,0.00979389
4,253.332,1.15053,1.06762,0.90046,0.10487,0.20272,0.09833,0.05491,1.65091,3.38775,0.96935,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,306.681,1.10021,1.02381,0.89292,0.10442,0.21067,0.10028,0.05521,1.59279,3.41905,0.96524,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,360.278,1.06498,0.98645,0.88637,0.09681,0.20984,0.09618,0.05163,1.57946,3.62885,0.96368,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,413.407,1.05003,0.96756,0.8827,0.09802,0.21196,0.10001,0.05436,1.56419,3.7342,0.95869,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,466.538,1.00884,0.94071,0.87728,0.10312,0.20264,0.10027,0.0552,1.56374,3.7336,0.95052,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,520.022,0.99813,0.93464,0.87566,0.10605,0.21872,0.10508,0.05851,1.54904,3.6898,0.95531,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,573.575,0.98165,0.91073,0.87044,0.106,0.22749,0.10478,0.05893,1.54338,3.42957,0.94496,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,626.91,0.96084,0.89843,0.86843,0.10472,0.20884,0.10129,0.05649,1.54468,3.68538,0.94756,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,680.342,0.96269,0.89112,0.86753,0.10979,0.22825,0.11106,0.06369,1.53842,3.68841,0.94603,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,734.144,0.94772,0.88241,0.86457,0.1102,0.22469,0.1059,0.0603,1.51957,3.73159,0.94835,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,787.591,0.93116,0.86104,0.86217,0.10933,0.21351,0.10829,0.06196,1.52714,3.91847,0.9473,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
