epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.1407,1.8397,3.23231,1.84261,0.50506,0.05592,0.05921,0.02411,2.03816,4.13427,1.34949,0.000174331,0.000174331,0.000174331
2,104.116,1.58283,2.42102,1.66728,0.29702,0.07737,0.06462,0.02789,2.04607,3.87571,1.39227,0.000346203,0.000346203,0.000346203
3,150.083,1.55176,2.40212,1.68027,0.17447,0.07537,0.07036,0.03078,2.06209,3.96828,1.42735,0.000514603,0.000514603,0.000514603
4,197.23,1.52309,2.32117,1.65845,0.16557,0.07968,0.06798,0.03041,1.98629,4.19866,1.3521,0.000510378,0.000510378,0.000510378
5,242.725,1.47888,2.28892,1.64132,0.1127,0.07763,0.07611,0.03231,2.04291,4.3309,1.39615,0.00050517,0.00050517,0.00050517
6,288.956,1.46588,2.21376,1.60535,0.1794,0.06758,0.07572,0.03428,2.03931,4.79157,1.39325,0.000499963,0.000499963,0.000499963
7,334.32,1.45783,2.22619,1.62273,0.12424,0.07275,0.07668,0.03398,2.11524,4.22295,1.43266,0.000494756,0.000494756,0.000494756
8,380.406,1.44258,2.19041,1.60028,0.19354,0.06471,0.0705,0.03122,2.02996,4.33796,1.39106,0.000489548,0.000489548,0.000489548
9,425.718,1.42181,2.1882,1.5923,0.23446,0.05827,0.07642,0.03484,2.08457,4.16111,1.43266,0.000484341,0.000484341,0.000484341
10,472.749,1.38225,2.13433,1.56398,0.11391,0.08968,0.07973,0.03526,2.07644,3.99969,1.41385,0.000479133,0.000479133,0.000479133
11,517.496,1.39738,2.14078,1.58016,0.10424,0.07491,0.0685,0.02949,2.09669,4.3647,1.44756,0.000473926,0.000473926,0.000473926
12,562.481,1.40981,2.14876,1.58237,0.12121,0.07791,0.07475,0.03319,2.1711,4.47551,1.46667,0.000468719,0.000468719,0.000468719
13,607.486,1.38644,2.06778,1.54298,0.19885,0.07,0.07958,0.03532,2.09413,4.85811,1.43461,0.000463511,0.000463511,0.000463511
14,653.925,1.37382,2.11495,1.57272,0.11777,0.08954,0.08291,0.03772,2.0955,4.31509,1.43006,0.000458304,0.000458304,0.000458304
15,698.656,1.34437,2.03443,1.52747,0.14247,0.07471,0.08264,0.03773,2.08112,4.55711,1.41503,0.000453096,0.000453096,0.000453096
16,744.64,1.35496,2.04825,1.54506,0.12457,0.08125,0.07726,0.03444,2.11523,4.79713,1.4172,0.000447889,0.000447889,0.000447889
17,790.493,1.34155,2.00422,1.52444,0.12748,0.0765,0.0724,0.03276,2.11263,4.7786,1.44721,0.000442682,0.000442682,0.000442682
18,834.541,1.35019,2.00509,1.52211,0.11504,0.08516,0.07758,0.03351,2.10951,4.30901,1.44193,0.000437474,0.000437474,0.000437474
19,879.502,1.34719,2.05019,1.54641,0.14739,0.06393,0.07467,0.03424,2.09448,4.57143,1.42546,0.000432267,0.000432267,0.000432267
20,925.821,1.33456,1.97909,1.52465,0.15503,0.06522,0.07821,0.03574,2.13174,4.72563,1.46093,0.000427059,0.000427059,0.000427059
21,969.917,1.30228,1.94285,1.50171,0.12668,0.08953,0.07628,0.0338,2.1221,4.46705,1.44743,0.000421852,0.000421852,0.000421852
22,1016.36,1.31028,1.9206,1.49126,0.1289,0.06925,0.07447,0.03355,2.12328,4.31513,1.46304,0.000416645,0.000416645,0.000416645
23,1060.72,1.33087,1.93491,1.50042,0.16423,0.06024,0.07808,0.03614,2.12691,4.73184,1.43261,0.000411437,0.000411437,0.000411437
24,1106,1.29967,1.91963,1.49024,0.12324,0.08705,0.08285,0.03702,2.08717,4.4375,1.41841,0.00040623,0.00040623,0.00040623
25,1151.22,1.30051,1.93717,1.49443,0.14941,0.06911,0.07564,0.03438,2.13911,4.49117,1.47204,0.000401022,0.000401022,0.000401022
26,1195.52,1.29946,1.87958,1.47963,0.1477,0.07469,0.08276,0.03753,2.13252,4.5427,1.45382,0.000395815,0.000395815,0.000395815
27,1240.61,1.30363,1.91534,1.49249,0.11728,0.08493,0.07555,0.0338,2.14388,4.89194,1.46777,0.000390608,0.000390608,0.000390608
28,1285.23,1.29722,1.91134,1.49388,0.13816,0.07353,0.0779,0.03318,2.20249,4.95667,1.49103,0.0003854,0.0003854,0.0003854
29,1329.93,1.29014,1.84948,1.46767,0.13036,0.08018,0.07704,0.03486,2.13854,4.85356,1.47408,0.000380193,0.000380193,0.000380193
30,1374.49,1.28383,1.87357,1.47821,0.2154,0.06412,0.07454,0.03329,2.16357,5.01006,1.47053,0.000374985,0.000374985,0.000374985
31,1419.79,1.26764,1.8404,1.4686,0.13628,0.07769,0.07963,0.03552,2.16526,4.71084,1.47124,0.000369778,0.000369778,0.000369778
32,1462.94,1.27069,1.84718,1.46455,0.12081,0.08086,0.07291,0.03266,2.16421,4.8104,1.48732,0.000364571,0.000364571,0.000364571
33,1506.9,1.26127,1.81498,1.45807,0.11743,0.08589,0.07793,0.03441,2.17617,4.51332,1.46702,0.000359363,0.000359363,0.000359363
34,1550.72,1.24317,1.78706,1.43395,0.1119,0.07905,0.07555,0.03384,2.17569,4.77653,1.47983,0.000354156,0.000354156,0.000354156
35,1594.75,1.2615,1.81329,1.4682,0.12584,0.08535,0.07952,0.03518,2.1849,4.48554,1.48877,0.000348948,0.000348948,0.000348948
