epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,156.931,1.12711,2.50642,1.26323,0.39361,0.09744,0.09126,0.03901,2.02582,3.7697,1.57969,0.00998516,0.00332839,0.00998516,0.00332839,0.00998516,0.00332839,0.00998516,0.00332839
2,283.103,1.06939,1.86108,1.21036,0.19113,0.11097,0.09319,0.04146,2.14399,3.88766,1.66578,0.0197873,0.00659577,0.0197873,0.00659577,0.0197873,0.00659577,0.0197873,0.00659577
3,399.793,1.15176,1.96104,1.25998,0.11746,0.08841,0.07609,0.03515,2.15157,inf,1.70574,0.0293915,0.00979715,0.0293915,0.00979715,0.0293915,0.00979715,0.0293915,0.00979715
4,513.413,1.20552,2.02441,1.29803,0.1643,0.1031,0.08191,0.03535,2.17421,3.99204,1.73825,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,626.818,1.15082,1.95113,1.2666,0.18451,0.10552,0.08734,0.0388,2.16317,3.96603,1.76026,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,740.554,1.1096,1.89586,1.24556,0.12664,0.0894,0.07674,0.03355,2.19966,4.18506,1.80713,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,853.708,1.07288,1.79967,1.22871,0.12267,0.10865,0.09016,0.04204,2.12728,4.08286,1.77356,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,967.278,1.05355,1.77621,1.22137,0.19924,0.09645,0.0841,0.03645,2.15524,4.00293,1.78482,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1079.65,1.0318,1.7537,1.21281,0.13824,0.09169,0.08021,0.03725,2.15629,4.25956,1.82043,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1192.92,1.01243,1.72154,1.20528,0.20883,0.09338,0.09003,0.04155,2.17313,inf,1.82259,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1305.15,1.00083,1.69224,1.19901,0.13117,0.10424,0.09225,0.04276,2.1777,4.03834,1.83111,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,1418.77,0.98211,1.65405,1.19181,0.12663,0.10135,0.09161,0.04215,2.12467,3.97049,1.7947,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,1532.02,0.97519,1.62445,1.18473,0.12647,0.10335,0.08667,0.04047,2.14207,inf,1.81016,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,1644.94,0.96284,1.61551,1.17629,0.12977,0.0964,0.08476,0.03908,2.18149,4.09474,1.82649,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,1757.52,0.95527,1.60541,1.17214,0.11766,0.10896,0.09022,0.0412,2.15336,4.08365,1.81931,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,1869.34,0.94327,1.58213,1.16784,0.13371,0.10288,0.09022,0.04187,2.16341,inf,1.83286,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,1981.73,0.93371,1.55016,1.16283,0.13666,0.09618,0.08486,0.03803,2.13844,4.0701,1.81226,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,2094.36,0.92412,1.54129,1.15712,0.12942,0.10267,0.08798,0.04147,2.12899,4.20551,1.81628,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,2206.8,0.92465,1.52784,1.15615,0.13102,0.1032,0.08671,0.04058,2.13175,4.13673,1.80223,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,2319.9,0.90649,1.4972,1.15113,0.12943,0.10168,0.08559,0.03816,2.16246,4.12278,1.8398,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,2432.82,0.90332,1.48236,1.15018,0.1302,0.10552,0.08769,0.04057,2.15208,4.20979,1.82468,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,2545.49,0.89699,1.47192,1.14444,0.12895,0.10824,0.08683,0.04009,2.14062,inf,1.83987,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,2657.43,0.89634,1.45577,1.14257,0.13162,0.09976,0.08696,0.04071,2.1718,inf,1.85417,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,2770.69,0.88922,1.43935,1.13448,0.13165,0.10729,0.08706,0.04095,2.14835,inf,1.84354,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
